text,label
"DEVIS
N° Devis: QT-9787
Date: 16/12/2023
Client: Client 16
Désignation: Service 26
Montant HT: 2390.25€
TVA: 478.05€
Total TTC: 2868.30€
Validité: 72 jours",quote
"QUOTATION
Quote #: QT-2491
Date: 10/9/2023
Customer: Client 24
Description: Service 6
Subtotal: $2456.92
Tax: $491.38
Total: $2948.30
Valid until: 39 days",quote
"DEVIS
N° Devis: QT-8353
Date: 6/10/2023
Client: Client 10
Désignation: Service 45
Montant HT: 2206.98€
TVA: 441.40€
Total TTC: 2648.38€
Validité: 65 jours",quote
"DEVIS
N° Devis: QT-2261
Date: 8/6/2023
Client: Client 18
Désignation: Service 46
Montant HT: 3401.29€
TVA: 680.26€
Total TTC: 4081.55€
Validité: 36 jours",quote
"DEVIS
N° Devis: QT-2400
Date: 21/5/2023
Client: Client 44
Désignation: Service 36
Montant HT: 2166.91€
TVA: 433.38€
Total TTC: 2600.29€
Validité: 47 jours",quote
"DEVIS
N° Devis: QT-4151
Date: 9/4/2023
Client: Client 10
Désignation: Service 9
Montant HT: 1140.04€
TVA: 228.01€
Total TTC: 1368.05€
Validité: 38 jours",quote
"DEVIS
N° Devis: QT-9060
Date: 11/1/2023
Client: Client 35
Désignation: Service 43
Montant HT: 4352.89€
TVA: 870.58€
Total TTC: 5223.47€
Validité: 33 jours",quote
"DEVIS
N° Devis: QT-9376
Date: 6/7/2023
Client: Client 31
Désignation: Service 44
Montant HT: 4536.96€
TVA: 907.39€
Total TTC: 5444.35€
Validité: 31 jours",quote
"QUOTATION
Quote #: QT-2572
Date: 1/7/2023
Customer: Client 93
Description: Service 26
Subtotal: $4725.16
Tax: $945.03
Total: $5670.19
Valid until: 77 days",quote
"DEVIS
N° Devis: QT-6300
Date: 5/6/2023
Client: Client 93
Désignation: Service 12
Montant HT: 1387.29€
TVA: 277.46€
Total TTC: 1664.75€
Validité: 87 jours",quote
"DEVIS
N° Devis: QT-7503
Date: 10/1/2023
Client: Client 5
Désignation: Service 15
Montant HT: 648.29€
TVA: 129.66€
Total TTC: 777.95€
Validité: 59 jours",quote
"DEVIS
N° Devis: QT-7199
Date: 15/5/2023
Client: Client 46
Désignation: Service 4
Montant HT: 2598.96€
TVA: 519.79€
Total TTC: 3118.75€
Validité: 58 jours",quote
